Periodo,TIPO DE TRANSPORTE,Ciudad,Total
2012-01-01,metro,Madrid,54.335
2012-02-01,metro,Madrid,55.28
2012-03-01,metro,Madrid,56.719
2012-04-01,metro,Madrid,49.995
2012-05-01,metro,Madrid,54.774
2012-06-01,metro,Madrid,52.016
2012-07-01,metro,Madrid,44.973
2012-08-01,metro,Madrid,32.283
2012-09-01,metro,Madrid,46.817
2012-10-01,metro,Madrid,55.387
2012-11-01,metro,Madrid,51.066
2012-12-01,metro,Madrid,47.907
2013-01-01,metro,Madrid,48.968
2013-02-01,metro,Madrid,48.731
2013-03-01,metro,Madrid,46.264
2013-04-01,metro,Madrid,51.973
2013-05-01,metro,Madrid,49.561
2013-06-01,metro,Madrid,47.331
2013-07-01,metro,Madrid,41.339
2013-08-01,metro,Madrid,28.261
2013-09-01,metro,Madrid,44.245
2013-10-01,metro,Madrid,52.885
2013-11-01,metro,Madrid,49.9
2013-12-01,metro,Madrid,48.435
2014-01-01,metro,Madrid,48.618
2014-02-01,metro,Madrid,47.438
2014-03-01,metro,Madrid,51.869
2014-04-01,metro,Madrid,46.804
2014-05-01,metro,Madrid,48.888
2014-06-01,metro,Madrid,46.271
2014-07-01,metro,Madrid,42.653
2014-08-01,metro,Madrid,28.938
2014-09-01,metro,Madrid,46.32
2014-10-01,metro,Madrid,54.028
2014-11-01,metro,Madrid,49.278
2014-12-01,metro,Madrid,49.749
2015-01-01,metro,Madrid,47.6
2015-02-01,metro,Madrid,47.363
2015-03-01,metro,Madrid,50.358
2015-04-01,metro,Madrid,48.809
2015-05-01,metro,Madrid,49.719
2015-06-01,metro,Madrid,47.494
2015-07-01,metro,Madrid,43.144
2015-08-01,metro,Madrid,29.978
2015-09-01,metro,Madrid,47.202
2015-10-01,metro,Madrid,54.612
2015-11-01,metro,Madrid,52.466
2015-12-01,metro,Madrid,50.991
2016-01-01,metro,Madrid,48.254
2016-02-01,metro,Madrid,51.44
2016-03-01,metro,Madrid,49.963
2016-04-01,metro,Madrid,53.165
2016-05-01,metro,Madrid,52.376
2016-06-01,metro,Madrid,49.535
2016-07-01,metro,Madrid,40.618
2016-08-01,metro,Madrid,31.451
2016-09-01,metro,Madrid,48.347
2016-10-01,metro,Madrid,53.047
2016-11-01,metro,Madrid,53.663
2016-12-01,metro,Madrid,52.897
2017-01-01,metro,Madrid,52.37
2017-02-01,metro,Madrid,52.219
2017-03-01,metro,Madrid,57.514
2017-04-01,metro,Madrid,49.919
2017-05-01,metro,Madrid,55.55
2017-06-01,metro,Madrid,54.633
2017-07-01,metro,Madrid,46.0
2017-08-01,metro,Madrid,35.146
2017-09-01,metro,Madrid,52.442
2017-10-01,metro,Madrid,59.151
2017-11-01,metro,Madrid,57.721
2017-12-01,metro,Madrid,53.74
2018-01-01,metro,Madrid,56.111
2018-02-01,metro,Madrid,55.436
2018-03-01,metro,Madrid,56.565
2018-04-01,metro,Madrid,58.359
2018-05-01,metro,Madrid,58.296
2018-06-01,metro,Madrid,55.653
2018-07-01,metro,Madrid,48.756
2018-08-01,metro,Madrid,34.831
2018-09-01,metro,Madrid,53.612
2018-10-01,metro,Madrid,62.907
2018-11-01,metro,Madrid,60.094
2018-12-01,metro,Madrid,56.59
2019-01-01,metro,Madrid,58.605
2019-02-01,metro,Madrid,57.35
2019-03-01,metro,Madrid,61.467
2019-04-01,metro,Madrid,55.267
2019-05-01,metro,Madrid,57.561
2019-06-01,metro,Madrid,56.897
2019-07-01,metro,Madrid,50.95
2019-08-01,metro,Madrid,36.129
2019-09-01,metro,Madrid,56.269
2019-10-01,metro,Madrid,66.151
2019-11-01,metro,Madrid,62.785
2019-12-01,metro,Madrid,58.045
2020-01-01,metro,Madrid,59.605
2020-02-01,metro,Madrid,60.41
2020-03-01,metro,Madrid,26.416
2020-04-01,metro,Madrid,4.865
2020-05-01,metro,Madrid,9.644
2020-06-01,metro,Madrid,21.778
2020-07-01,metro,Madrid,27.066
2020-08-01,metro,Madrid,20.707
2020-09-01,metro,Madrid,27.861
2020-10-01,metro,Madrid,30.067
2020-11-01,metro,Madrid,30.493
2020-12-01,metro,Madrid,30.933
2021-01-01,metro,Madrid,29.268
2021-02-01,metro,Madrid,30.299
2021-03-01,metro,Madrid,35.044
2021-04-01,metro,Madrid,33.799
2021-05-01,metro,Madrid,36.111
2021-06-01,metro,Madrid,37.708
2021-07-01,metro,Madrid,34.042
2021-08-01,metro,Madrid,25.999
2021-09-01,metro,Madrid,41.215
2021-10-01,metro,Madrid,47.203
2021-11-01,metro,Madrid,48.329
2021-12-01,metro,Madrid,43.288
2022-01-01,metro,Madrid,39.664
2022-02-01,metro,Madrid,44.812
2022-03-01,metro,Madrid,52.844
2022-04-01,metro,Madrid,46.53
2022-05-01,metro,Madrid,50.338
2022-06-01,metro,Madrid,48.204
2022-07-01,metro,Madrid,40.761
2022-08-01,metro,Madrid,31.909
2022-09-01,metro,Madrid,51.158
2022-10-01,metro,Madrid,56.08
2022-11-01,metro,Madrid,56.167
2022-12-01,metro,Madrid,53.202
2023-01-01,metro,Madrid,54.418
2023-02-01,metro,Madrid,55.335
2023-03-01,metro,Madrid,61.493
2023-04-01,metro,Madrid,54.1
2023-05-01,metro,Madrid,58.49
2023-06-01,metro,Madrid,57.07
2023-07-01,metro,Madrid,47.858
2023-08-01,metro,Madrid,36.489
2023-09-01,metro,Madrid,54.824
2023-10-01,metro,Madrid,62.233
2023-11-01,metro,Madrid,61.573
2023-12-01,metro,Madrid,58.425
2024-01-01,metro,Madrid,58.879
2024-02-01,metro,Madrid,61.471
2024-03-01,metro,Madrid,59.13
2024-04-01,metro,Madrid,64.265
2024-05-01,metro,Madrid,62.333
2024-06-01,metro,Madrid,59.458
2024-07-01,metro,Madrid,52.445
2024-08-01,metro,Madrid,39.574
2024-09-01,metro,Madrid,59.825
