Periodo,Total
2012Q1,166.334
2012Q2,156.785
2012Q3,124.073
2012Q4,154.36
2013Q1,143.96300000000002
2013Q2,148.865
2013Q3,113.845
2013Q4,151.22
2014Q1,147.925
2014Q2,141.963
2014Q3,117.911
2014Q4,153.055
2015Q1,145.321
2015Q2,146.022
2015Q3,120.324
2015Q4,158.06900000000002
2016Q1,149.65699999999998
2016Q2,155.076
2016Q3,120.416
2016Q4,159.607
2017Q1,162.103
2017Q2,160.102
2017Q3,133.588
2017Q4,170.612
2018Q1,168.112
2018Q2,172.308
2018Q3,137.199
2018Q4,179.591
2019Q1,177.422
2019Q2,169.725
2019Q3,143.348
2019Q4,186.981
2020Q1,146.43099999999998
2020Q2,36.287
2020Q3,75.634
2020Q4,91.493
2021Q1,94.611
2021Q2,107.618
2021Q3,101.256
2021Q4,138.82
2022Q1,137.32
2022Q2,145.072
2022Q3,123.828
2022Q4,165.449
2023Q1,171.246
2023Q2,169.66
2023Q3,139.171
2023Q4,182.231
2024Q1,179.48
2024Q2,186.056
2024Q3,151.844
